1,Thu Aug 19 21:54:38 2021,125094,car,2,4856,PC7C042B7,Unnamed: 0,Thu
2,Sat Jul 31 04:09:44 2021,174434,CAR,2,4154,PC2C2EF9E,,Sat
3,Sat Aug 14 17:19:04 2021,8538286,CAR,2,4070,PCEECA8B2,,Sat
4,Mon Aug  2 18:23:45 2021,5521221,CAR,2,4095,PC3E1512A,,Mon
5,Thu Jul 29 22:44:20 2021,3267767,CAR,2,4135,PCC943ECD,,Thu
6,Sat Aug 14 03:57:47 2021,8411850,CAR,2,4680,PCC422F4D,,Sat
7,Thu Aug 12 03:41:22 2021,6064250,CAR,2,4702,PCDBC3AC9,,Thu
8,Sun Aug 22 10:29:58 2021,6871937,VAN,2,4592,PC627AA14,,Sun
9,Fri Aug  6 14:23:08 2021,2055930,CAR,2,4100,PCC6DD8D5,,Fri
10,Sun Aug 15 13:43:51 2021,8775910,CAR,2,4143,PC5F47DCF,1.0,Sun
11,Wed Aug  4 15:52:13 2021,4525747,CAR,2,4466,PC6E93A05,1.0,Wed
12,Wed Aug 18 02:22:15 2021,5276143,VAN,2,4352,PC99B9343,1.0,Wed
13,Thu Aug 19 16:01:02 2021,5405144,VAN,2,4574,PCC1F6F13,1.0,Thu
14,Tue Aug  3 14:55:00 2021,9309466,CAR,2,4902,PC425C6EC,1.0,Tue
15,Thu Aug  5 04:00:30 2021,6494070,VAN,2,4012,PCEF5C190,1.0,Thu
16,Sun Aug  8 13:08:17 2021,4880588,CAR,2,4458,PCECEBBFA,1.0,Sun
17,Wed Aug  4 04:56:15 2021,6964507,CAR,2,4886,PC4D892D7,1.0,Wed
18,Sun Aug 15 11:22:44 2021,5740782,TRUCK,4,4680,PCC422F4D,1.0,Sun
19,Fri Jul 30 11:20:47 2021,1060261,VAN,2,4899,PC4967767,1.0,Fri
20,Sun Aug  8 21:22:56 2021,6599783,CAR,2,4855,PC03C5C15,2.0,Sun
21,Wed Aug 11 10:33:15 2021,4573378,CAR,2,4737,PCED7EAFE,2.0,Wed
22,Fri Aug  6 02:02:33 2021,1362666,CAR,2,4140,PC5D4821F,2.0,Fri
23,Mon Aug  9 05:07:58 2021,9227112,CAR,2,4961,PC92C5115,2.0,Mon
24,Fri Aug 13 18:21:04 2021,1245885,CAR,2,4148,PCDFBBEBB,2.0,Fri
25,Thu Aug 12 01:36:28 2021,6702238,CAR,2,4630,PCA26D872,2.0,Thu
26,Wed Aug 11 04:05:21 2021,7598066,CAR,2,5003,PCAC9371E,2.0,Wed
27,Sun Aug  8 19:09:41 2021,2959560,CAR,2,4243,PCC4F7DCE,2.0,Sun
28,Sun Aug  1 02:04:42 2021,9223690,CAR,2,4023,PC77793DF,2.0,Sun
29,Sun Aug 15 11:11:42 2021,495967,CAR,2,4987,PCF4A9637,2.0,Sun
30,Sat Aug 14 03:39:26 2021,1920115,CAR,2,4755,PC628DCED,3.0,Sat
31,Wed Aug 18 23:33:41 2021,9940618,TRUCK,4,4079,PCF1366ED,3.0,Wed
32,Fri Aug  6 10:18:54 2021,733942,CAR,2,4616,PCE6675F9,3.0,Fri
33,Thu Aug 19 15:58:25 2021,3232373,TRUCK,4,4245,PC6594AD4,3.0,Thu
34,Thu Aug 19 07:23:18 2021,2164250,TRUCK,4,4090,PC1EE951B,3.0,Thu
35,Sun Aug  1 09:10:05 2021,3714822,TRUCK,4,4383,PC4BFE950,3.0,Sun
36,Sat Aug  7 13:11:54 2021,9870882,VAN,2,4449,PCAACD453,3.0,Sat
37,Tue Aug 10 01:27:00 2021,834998,CAR,2,4351,PC4E572D8,3.0,Tue
38,Tue Aug 10 14:31:35 2021,6715866,CAR,2,4159,PC5631507,3.0,Tue
39,Sun Aug  8 09:43:26 2021,9723146,CAR,2,4018,PCCB2657A,3.0,Sun
40,Mon Aug  2 16:18:51 2021,2871310,CAR,2,4827,PC7D68CD9,4.0,Mon
41,Sat Aug 14 13:13:47 2021,7657312,VAN,2,4115,PCF5D4B0A,4.0,Sat
42,Tue Aug  3 03:53:05 2021,9802000,CAR,2,4102,PC8C9B099,4.0,Tue
43,Mon Aug 16 00:36:00 2021,6514220,CAR,2,4398,PCE60D320,4.0,Mon
44,Fri Aug 20 02:10:55 2021,3803763,CAR,2,4918,PC8F8E598,4.0,Fri
45,Sat Aug 14 06:32:07 2021,2223161,CAR,2,4984,PCBABF130,4.0,Sat
46,Fri Jul 30 02:19:56 2021,1228573,TRUCK,4,4460,PCDF04952,4.0,Fri
47,Wed Aug  4 14:30:03 2021,4872795,CAR,2,4326,PC356AE8F,4.0,Wed
48,Sat Aug 14 04:04:45 2021,2074513,VAN,2,4600,PCB99E8F9,4.0,Sat
49,Thu Aug 12 04:58:14 2021,7368256,CAR,2,4735,PC2294422,4.0,Thu
50,Wed Aug 11 10:50:27 2021,2168309,CAR,2,4162,PC51A39A7,5.0,Wed
51,Sun Aug  8 08:37:17 2021,5131457,CAR,2,4012,PCEF5C190,5.0,Sun
52,Mon Aug  9 23:48:43 2021,2398430,CAR,2,4223,PCA37D114,5.0,Mon
53,Wed Aug 18 17:50:45 2021,6065595,VAN,2,4990,PCFE28E92,5.0,Wed
54,Mon Aug  2 16:59:38 2021,9885768,CAR,2,4154,PC2C2EF9E,5.0,Mon
55,Thu Aug 19 04:54:56 2021,4327783,CAR,2,4913,PC685427C,5.0,Thu
56,Tue Aug 17 18:11:45 2021,3904834,TRUCK,4,4388,PC803F0F2,5.0,Tue
57,Mon Aug  2 19:48:50 2021,1358382,CAR,2,4299,PCAD3B9BC,5.0,Mon
58,Tue Aug 17 16:46:31 2021,3579992,CAR,2,4725,PCB905D54,5.0,Tue
59,Wed Aug 11 22:21:30 2021,8130760,CAR,2,4229,PCD0DDD3D,5.0,Wed
60,Fri Jul 30 09:54:24 2021,6546218,CAR,2,4354,PC0671DD4,6.0,Fri
61,Sat Aug  7 16:42:24 2021,3673515,CAR,2,4127,PCA2D76A5,6.0,Sat
62,Wed Aug  4 20:43:54 2021,9888875,TRUCK,4,4522,PC0A326BE,6.0,Wed
63,Sat Aug  7 20:44:08 2021,8136080,TRUCK,4,4410,PC6EFC03B,6.0,Sat
64,Thu Aug 12 19:23:36 2021,2078447,VAN,2,4689,PC89C35AD,6.0,Thu
65,Sat Aug  7 16:41:49 2021,8090807,CAR,2,4296,PCA24C1E1,6.0,Sat
66,Sun Aug  1 07:32:04 2021,4309692,CAR,2,4303,PC2E2E0C0,6.0,Sun
67,Wed Aug 11 14:24:25 2021,3752767,CAR,2,4346,PCA35B156,6.0,Wed
68,Wed Aug  4 23:10:29 2021,9407219,CAR,2,4253,PC82A16E6,6.0,Wed
69,Wed Aug  4 14:29:11 2021,2167845,VAN,2,5007,PC869BDE8,6.0,Wed
70,Tue Aug 17 01:20:54 2021,7903517,CAR,2,4534,PCAD9E1F9,7.0,Tue
71,Sat Aug 21 02:09:35 2021,7385817,CAR,2,4742,PC05B8749,7.0,Sat
72,Thu Aug 19 17:52:30 2021,5673776,CAR,2,4944,PC41EEC34,7.0,Thu
73,Tue Aug 17 21:58:23 2021,823973,CAR,2,4171,PC36C9AE8,7.0,Tue
74,Tue Aug 10 13:03:36 2021,9361361,CAR,2,4750,PCD987A9D,7.0,Tue
75,Sat Aug 21 19:25:57 2021,8744445,CAR,2,4878,PC08F56A1,7.0,Sat
76,Sun Aug  8 14:01:06 2021,2910050,CAR,2,4274,PC88EA64E,7.0,Sun
77,Thu Aug  5 11:21:12 2021,1686323,CAR,2,4377,PC4AC8EAD,7.0,Thu
78,Sun Aug  1 07:10:55 2021,9113006,CAR,2,4265,PC5B2AFFA,7.0,Sun
79,Fri Jul 30 15:53:32 2021,660597,CAR,2,4304,PC89FB76E,7.0,Fri
80,Sun Aug 22 16:38:30 2021,8500934,CAR,2,4797,PCE2D63A7,8.0,Sun
81,Thu Aug 19 13:11:29 2021,395519,TRUCK,4,4061,PC3A63A79,8.0,Thu
82,Mon Aug  9 14:17:00 2021,2616607,TRUCK,4,4085,PC6150735,8.0,Mon
83,Sat Aug 14 10:36:28 2021,7218572,CAR,2,4675,PCE49911B,8.0,Sat
84,Thu Aug 12 11:53:03 2021,994857,TRUCK,4,4997,PC8111910,8.0,Thu
85,Mon Aug  2 20:12:17 2021,3168436,CAR,2,4241,PC7241796,8.0,Mon
86,Fri Aug 13 20:06:41 2021,1572712,CAR,2,4890,PCAFC8A56,8.0,Fri
87,Thu Jul 29 17:35:21 2021,545955,CAR,2,4537,PC10C700F,8.0,Thu
88,Sun Aug 22 05:39:41 2021,2013386,CAR,2,4743,PCE6EEF2E,8.0,Sun
89,Wed Aug 11 02:43:03 2021,6566889,CAR,2,4026,PC2CE9851,8.0,Wed
90,Wed Aug 11 02:39:24 2021,852585,CAR,2,4373,PC8806694,9.0,Wed
91,Thu Jul 29 14:30:02 2021,6196238,TRUCK,4,4116,PCCA836C9,9.0,Thu
